[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | INFO: Tag[ route_check ] --START--
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | INFO: Run CheckRoute Behavior [ RunTime:0.000358s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | INFO: Tag[ route_check ] --END-- [ RunTime:0.000484s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | INFO: Tag[ app_begin ] --START--
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000789s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000918s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_member` [ RunTime:0.004354s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.000553s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.003203s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000432s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_member_field` [ RunTime:0.003302s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.000402s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_question` [ RunTime:0.003621s ]
