[ 2012-05-09T18:06:47+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000356s ]
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000473s ]
[ 2012-05-09T18:06:47+08:00 ] / | SQL: SHOW COLUMNS FROM `qh_member` [ RunTime:0.004314s ]
[ 2012-05-09T18:06:47+08:00 ] / | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.012573s ]
[ 2012-05-09T18:06:47+08:00 ] / | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.003285s ]
[ 2012-05-09T18:06:47+08:00 ] / | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.042476s ]
[ 2012-05-09T18:06:47+08:00 ] / | SQL: SHOW COLUMNS FROM `qh_member_field` [ RunTime:0.003477s ]
[ 2012-05-09T18:06:47+08:00 ] / | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.000413s ]
[ 2012-05-09T18:06:47+08:00 ] / | SQL: SELECT COUNT(*) AS tp_count FROM `qh_member` WHERE sex=1 AND default_photonum>0 AND group_type>0 LIMIT 1   [ RunTime:0.001131s ]
[ 2012-05-09T18:06:47+08:00 ] / | SQL: SELECT * FROM `qh_member` WHERE sex=1 AND default_photonum>0 AND group_type>0 LIMIT 7, 12   [ RunTime:0.000739s ]
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.014800s ]
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.014911s ]
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-05-09T18:06:47+08:00 ] / | NOTIC: [8] Undefined variable: m e5b19ddd3d471b21bbda02c5e4185b4b.php 第 301 行.
[ 2012-05-09T18:06:47+08:00 ] / | NOTIC: [8] Undefined variable: m e5b19ddd3d471b21bbda02c5e4185b4b.php 第 358 行.
[ 2012-05-09T18:06:47+08:00 ] / | NOTIC: [8] Undefined variable: m e5b19ddd3d471b21bbda02c5e4185b4b.php 第 361 行.
[ 2012-05-09T18:06:47+08:00 ] / | NOTIC: [8] Undefined variable: 1 e5b19ddd3d471b21bbda02c5e4185b4b.php 第 566 行.
[ 2012-05-09T18:06:47+08:00 ] / | NOTIC: [8] Undefined variable: 体育学院 e5b19ddd3d471b21bbda02c5e4185b4b.php 第 566 行.
[ 2012-05-09T18:06:47+08:00 ] / | NOTIC: [8] Undefined variable: m e5b19ddd3d471b21bbda02c5e4185b4b.php 第 1268 行.
[ 2012-05-09T18:06:47+08:00 ] / | NOTIC: [8] Undefined variable: m e5b19ddd3d471b21bbda02c5e4185b4b.php 第 1274 行.
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.286976s ]
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.287080s ]
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001909s ]
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000936s ]
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000547s ]
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000994s ]
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004721s ]
[ 2012-05-09T18:06:47+08:00 ] / | INFO: Tag[ view_end ] --START--
